year,value_billion
2012,748.307108276
2013,1015.712180601
2014,1081.793754013
2015,1991.680550415
2016,1346.600515577
2017,1640.192253535
2018,1558.742119748
2019,1918.297231984
2020,2095.568107975
2021,2471.585392218
2022,3325.802544569
2023,4250.11816754
2024,4045.661181883
