province,year,value
Luanda,2012,174.0
Luanda,2013,237.0
Luanda,2014,208.0
Luanda,2015,534.0
Luanda,2016,296.0
Luanda,2017,461.0
Luanda,2018,423.0
Luanda,2019,526.0
Luanda,2020,465.0
Luanda,2021,621.0
Luanda,2022,1168.0
Luanda,2023,1018.0
Luanda,2024,1049.0
